字彙	詞類	中文	註解	級數	學術字彙
cube	noun/verb	立方體；求…立方、切成小方塊		High-Intermediate	
cubic	adj.	立方的		High-Intermediate	
cucumber	noun	黃瓜		Intermediate	
cue	noun/verb	(給)暗示、提示		Intermediate	
cuisine	noun	烹飪、菜餚		High-Intermediate	
culminate	verb	以…告終、結束		High-Intermediate	
cult	noun	狂熱崇拜、邪教		High-Intermediate	
cult	adj.	受特定群體歡迎的		High-Intermediate	
cultivate	verb	耕作、培養		Intermediate	
cultural	adj.	文化的		Intermediate	L2
culture	noun	文化		Elementary	L2
cumulative	adj.	累積的		High-Intermediate	
cunning	adj.	狡猾的		Intermediate	
cup	noun	杯子		Elementary	
cupboard	noun	櫥櫃		Intermediate	
curb	verb/noun	抑制、約束		High-Intermediate	
cure	noun/verb	有療效的藥物、治療方法；治癒		Elementary	
curfew	noun	宵禁(時間)		High-Intermediate	
curiosity	noun	好奇心		Intermediate	
curious	adj.	好奇的		Elementary	
curl	verb/noun	使捲曲；捲髮、捲曲物		Intermediate	
currency	noun	貨幣；流通、流傳		High-Intermediate	L8
current	adj.	當前的		Elementary	
current	noun	水流、氣流、電流		Elementary	
curriculum	noun	(學校)全部課程		High-Intermediate	
curry	noun/verb	咖哩；烹製咖哩		High-Intermediate	
curse	noun/verb	詛咒、咒罵		Intermediate	
curtain	noun	窗簾、幕布		Elementary	
curve	noun/verb	曲線；使彎曲		Elementary	
cushion	noun	軟墊		Intermediate	
cushion	verb	緩衝		Intermediate	
custody	noun	保管、監護(權)、羈押		High-Intermediate	
custom	noun	習俗		Elementary	
customary	adj.	習俗的、一貫的		High-Intermediate	
customer	noun	顧客		Elementary	
customs	noun	海關		Intermediate	
cut	verb/noun	切、割、修剪；割傷		Elementary	
cute	adj.	可愛的		Elementary	
cutting	noun	剪報、插枝		High-Intermediate	
cutting	adj.	刻薄的		High-Intermediate	
cycle	noun	循環		Intermediate	L4
cycle	verb	騎自行車		Intermediate	L4
cyclist	noun	騎自行車者		Intermediate	
cylinder	noun	圓柱體；(引擎的)氣缸		High-Intermediate	
cynical	adj.	憤世嫉俗的、悲觀的		High-Intermediate	
dad	noun	爸爸	= daddy= papa	Elementary	
daffodil	noun	水仙花		High-Intermediate	
daily	adj./adv.	每日的；每日地		Elementary	
dairy	noun	乳製品		Intermediate	
dam	noun/verb	水壩；築壩		Intermediate	
damage	noun/verb	損害		Elementary	
dame	noun	女爵士		High-Intermediate	
damn	interj./verb/noun	咒罵(該死)；批評；絲毫		Intermediate	
damp	adj./noun/verb	潮濕的；濕氣；弄濕		Intermediate	
dance	verb/noun	跳舞		Elementary	
dancer	noun	舞者		Intermediate	
dandruff	noun	頭皮屑		High-Intermediate	
danger	noun	危險		Elementary	
dangerous	adj.	危險的		Elementary	
dare	verb/verb(aux.)	膽敢		Intermediate	
daring	adj./noun	勇敢的、大膽的；勇敢、膽量		High-Intermediate	
dark	noun/adj.	黑暗；黑暗的、深色的		Elementary	
darling	noun/adj.	親愛的		Intermediate	
dart	verb	飛奔；猛然一瞥		High-Intermediate	
dart	noun	飛鏢		High-Intermediate	
dash	verb	飛奔；猛擊		Intermediate	
dash	noun	飛奔；短跑比賽；破折號		Intermediate	
data	noun	資料	datum (singular form)	Elementary	L1
date	noun/verb	日期、約會；寫日期、約會		Elementary	
daughter	noun	女兒		Elementary	
dawn	noun/verb	黎明；破曉		Elementary	
day	noun	天、白天		Elementary	
daybreak	noun	黎明		High-Intermediate	
daylight	noun	日光		Intermediate	
day-to-day	adj.	每天的、例行的		High-Intermediate	
dazzle	verb/noun	使目眩、使讚嘆；耀眼炫目		High-Intermediate	
dead	adj.	死亡的		Elementary	
deadline	noun	截止期限		Intermediate	
deadly	adj./adv.	致命的、極度的；極其		High-Intermediate	
deaf	adj.	聾的		Elementary	
deafen	verb	使聽不見		High-Intermediate	
deal	verb	做生意、買賣；處理；分發、發牌		Elementary	
deal	noun	交易、協議		Elementary	
dealer	noun	商人、經銷商		High-Intermediate	
dealing	noun	交易、商業往來		High-Intermediate	
dear	adj./noun/interj.	親愛的；親愛的；哎呀		Elementary	
death	noun	死亡		Elementary	
debate	noun/verb	辯論		Elementary	L4
debris	noun	殘骸、碎片		High-Intermediate	
debt	noun	債、負債		Elementary	
debut	noun	初次演出、初次亮相		High-Intermediate	
decade	noun	十年		Intermediate	L7
decay	verb/noun	腐爛、衰敗		Intermediate	
deceive	verb	欺騙		Intermediate	
December	noun	十二月	= Dec.	Elementary	
decent	adj.	正派的、正經的、相當不錯的		High-Intermediate	
decide	verb	決定		Elementary	
decimal	adj.	十進位的		High-Intermediate	
decimal	noun	小數		High-Intermediate	
decision	noun	決定		Elementary	
decisive	adj.	決定性的、果斷的		High-Intermediate	
deck	noun	甲板、(船或巴士的)層		Intermediate	
declaration	noun	宣言、聲明、申報		Intermediate	
declare	verb	宣言、聲明、申報		Intermediate	
decline	verb	減少、衰退；婉拒		Intermediate	L5
decorate	verb	裝飾		Elementary	
decoration	noun	裝飾品		Intermediate	
decorative	adj.	裝飾性的		High-Intermediate	
decrease	verb/noun	減少		Elementary	
decree	noun/verb	法令、判決；頒布		High-Intermediate	
dedicate	verb	獻出(時間、精力)給…、(把著作、演出等)獻給		High-Intermediate	
dedicated	adj.	盡心盡力的、獻身的		High-Intermediate	
dedication	noun	獻身、奉獻		High-Intermediate	
deduce	verb	推論、演繹		High-Intermediate	L3
deduct	verb	扣除		High-Intermediate	
deduction	noun	演繹、扣除(額)		High-Intermediate	
deed	noun	行為、舉止		Intermediate	
deem	verb	認為、相信		High-Intermediate	
deep	adj./adv.	深的；深地		Elementary	
deepen	verb	使加深、變糟、使變低		High-Intermediate	
deer	noun	鹿		Elementary	
default	verb	違約、不清償債務		High-Intermediate	
default	noun	違約；預設值		High-Intermediate	
defeat	noun/verb	失敗；擊敗		Intermediate	
defect	noun	缺陷		High-Intermediate	
defect	verb	背叛、叛變		High-Intermediate	
defend	verb	防守、保衛、辯護		Intermediate	
defendant	noun	被告		High-Intermediate	
defender	noun	守衛者、保護人、防守隊員		High-Intermediate	
defense	noun	防守、保衛、辯護	= defence (British English)	Intermediate	
defensible	adj.	可辯解的、有正當理由的		High-Intermediate	
defensive	adj.	防守的、防禦性的		Intermediate	
defiance	noun	違抗、拒絕服從		High-Intermediate	
defiant	adj.	反抗的、挑釁的		High-Intermediate	
deficiency	noun	缺乏、缺陷		High-Intermediate	
deficient	adj.	缺乏的、有缺陷的		High-Intermediate	
deficit	noun	赤字、虧損		Intermediate	
define	verb	下定義、規定		Intermediate	L1
definite	adj.	肯定的		Intermediate	L7
definition	noun	定義		Intermediate	
definitive	adj.	最後的、決定性的		High-Intermediate	
defy	verb	違抗、反抗		High-Intermediate	
degenerate	verb/adj./noun	衰退、惡化；墮落的；墮落的人		High-Intermediate	
degrade	verb	貶低、侮辱、使惡化		High-Intermediate	
degree	noun	度、程度		Elementary	
delay	noun/verb	延誤、耽擱		Elementary	
delegate	noun/verb	代表；授權、委託		Intermediate	
delegation	noun	代表團、委派		High-Intermediate	
delete	verb	刪除		Intermediate	
deliberate	adj.	故意的；小心謹慎的		High-Intermediate	
deliberate	verb	仔細考慮		High-Intermediate	
delicate	adj.	易碎的、纖弱的		Intermediate	
delicious	adj.	美味的		Elementary	
delight	noun/verb	愉快；使愉快		Intermediate	
delightful	adj.	令人快樂的		Intermediate	
delinquent	noun	青少年犯		High-Intermediate	
delinquent	adj.	犯法的；逾期未付的		High-Intermediate	
deliver	verb	運送		Elementary	
delivery	noun	運送		Intermediate	
demand	noun/verb	需求、要求		Intermediate	
demanding	adj.	高要求的、費時費力的		Intermediate	
demise	noun	終止、死亡		High-Intermediate	
democracy	noun	民主		Elementary	
democrat	noun	民主主義者	大寫為民主黨黨員	Intermediate	
democratic	adj.	民主的		Elementary	
demonstrate	verb	證明、示範；遊行示威		Intermediate	L3
demonstration	noun	證明、示範；遊行示威		Intermediate	
demonstrator	noun	示威者；示範者		High-Intermediate	
denial	noun	否認、拒絕		High-Intermediate	
denote	verb	象徵、意指		High-Intermediate	L8
denounce	verb	譴責、告發		High-Intermediate	
dense	adj.	稠密的		Intermediate	
density	noun	濃度、密度		High-Intermediate	
dental	adj.	牙齒的、牙科的		High-Intermediate	
dentist	noun	牙醫		Elementary	
deny	verb	否認		Elementary	L7
depart	verb	啟程、離開		Intermediate	
department	noun	部門		Elementary	
department store	noun	百貨公司		Elementary	
departure	noun	啟程、離開		Intermediate	
depend	verb	取決於、依靠		Elementary	
dependable	adj.	可信賴的、可靠的		Intermediate	
dependent	adj.	依賴的、取決於		Intermediate	
dependent	noun	受扶養者	= dependant	Intermediate	
depict	verb	描繪、描述		High-Intermediate	
deplete	verb	消耗、耗盡		High-Intermediate	
deploy	verb	部署(軍隊或武器)、有效利用		High-Intermediate	
deployment	noun	部署、有效利用		High-Intermediate	
deport	verb	驅逐出境		High-Intermediate	
deposit	noun	訂金、存款		Intermediate	
deposit	verb	放置、付訂金、存錢		Intermediate	
depress	verb	使沮喪		Intermediate	L10
depression	noun	沮喪、憂鬱症；蕭條、不景氣		Intermediate	
deprive	verb	剝奪、使喪失		High-Intermediate	
depth	noun	深度		Intermediate	
deputy	noun	副手、代理人		Intermediate	
derive	verb	來自、衍生、獲得		High-Intermediate	L1
descend	verb	下來、下降		High-Intermediate	
descendant	noun	後裔		High-Intermediate	
descent	noun	下來、下降；血統		High-Intermediate	
describe	verb	描述		Elementary	
description	noun	描述		Intermediate	
descriptive	adj.	描寫的、敘述的		High-Intermediate	
desert	verb	遺棄		Elementary	
desert	noun	沙漠		Elementary	
deserve	verb	值得、應得		Intermediate	
design	noun/verb	設計		Elementary	L2
designate	verb	指定、指派、標明		High-Intermediate	
designate	adj.	新任命的		High-Intermediate	
designer	noun	設計師		Intermediate	
desirable	adj.	令人嚮往的		Intermediate	
desire	noun/verb	渴望		Elementary	
desk	noun	書桌		Elementary	
despair	noun/verb	絕望		Intermediate	
desperate	adj.	絕望的、極渴望的、不顧一切的		Intermediate	
despise	verb	鄙視、看不起		High-Intermediate	
despite	prep.	儘管		Intermediate	L4
dessert	noun	甜點		Elementary	
destination	noun	目的地		Intermediate	
destined	adj.	注定的、預定的		High-Intermediate	
destiny	noun	命運		High-Intermediate	
destroy	verb	摧毀、破壞		Intermediate	
destruction	noun	摧毀、破壞		Intermediate	
destructive	adj.	破壞性的		Intermediate	
detach	verb	拆卸、使分離、派遣		High-Intermediate	
detached	adj.	分離的；不帶感情的、超然的		High-Intermediate	
detail	noun/verb	細節；詳述		Intermediate	
detailed	adj.	詳細的		Intermediate	
detain	verb	拘留、耽擱		High-Intermediate	
detect	verb	發現、查出		Intermediate	L8
detection	noun	偵查、探測		High-Intermediate	
detective	noun/adj.	偵探、警探；偵探的		Intermediate	
detention	noun	拘留、扣押、(作為懲罰的)課後留校		High-Intermediate	
deter	verb	阻止、威懾、使斷念		High-Intermediate	
detergent	noun/adj	洗衣粉、清潔劑		Intermediate	
deteriorate	verb	變壞、惡化		High-Intermediate	
deterioration	noun	惡化		High-Intermediate	
determination	noun	決心		Intermediate	
determine	verb	決定、下決心		Elementary	
devalue	verb	(貨幣)貶值、貶低		High-Intermediate	
devastate	verb	重創、摧毀、使震驚或悲痛		High-Intermediate	
devastating	adj.	毀滅性的、驚人的		High-Intermediate	
develop	verb	發展		Elementary	
developed	adj.	先進的、已開發的、成熟的		High-Intermediate	
developer	noun	開發商、開發者		High-Intermediate	
developing	adj.	發展中的、開發中的		High-Intermediate	
development	noun	發展、開發		Intermediate	
deviate	verb	偏離、脫軌		High-Intermediate	L8
device	noun	裝置、設備		Intermediate	L9
devil	noun	惡魔		Intermediate	
devise	verb	發明、想出		Intermediate	
devote	verb	致力、用於		Intermediate	L9
devoted	adj.	摯愛的、忠誠的、專心致志的		Intermediate	L9
devotion	noun	摯愛、忠誠、奉獻		Intermediate	
devour	verb	狼吞虎嚥、吞噬、如飢似渴地讀		High-Intermediate	
dew	noun	露水		High-Intermediate	
diabetes	noun	糖尿病		High-Intermediate	
diagnose	verb	診斷		High-Intermediate	
diagnosis	noun	診斷		High-Intermediate	
diagram	noun	圖表、示意圖		High-Intermediate	
dial	verb/noun	撥號；撥號盤、錶面		Elementary	
dialect	noun	方言		Intermediate	
dialog	noun	對話	= dialogue (British English)	Intermediate	
diameter	noun	直徑		High-Intermediate	
diamond	noun	鑽石；菱形		Elementary	
diaper	noun	尿布		High-Intermediate	
diary	noun	日記		Elementary	
dictate	verb	口述、命令、支配		Intermediate	
dictation	noun	口述、聽寫		Intermediate	
dictator	noun	獨裁者		High-Intermediate	
dictatorship	noun	獨裁統治、獨裁國家		High-Intermediate	
dictionary	noun	字典		Elementary	
die	verb	死		Elementary	
diesel	noun	柴油		High-Intermediate	
diet	noun/verb/adj.	飲食、節食；節食；飲食的、節食的		Elementary	
differ	verb	不同		Intermediate	
difference	noun	差別		Elementary	
different	adj.	不同的		Elementary	
differentiate	verb	區分、使不同		High-Intermediate	L7
difficult	adj.	困難的		Elementary	
difficulty	noun	困難		Elementary	
diffuse	verb	擴散、散佈、(光)漫射		High-Intermediate	
dig	verb	挖		Elementary	
digest	verb	消化、領悟		Intermediate	
digest	noun	文摘、摘要		Intermediate	
digestion	noun	消化		Intermediate	
digit	noun	數字、位數		Intermediate	
digital	adj.	數位的		Intermediate	
dignity	noun	尊嚴、莊重		Intermediate	
dilemma	noun	困境		High-Intermediate	
diligence	noun	勤奮、用功		Intermediate	
diligent	adj.	勤奮的		Elementary	
dilute	verb/adj.	稀釋、削弱；稀釋的		High-Intermediate	
dim	adj./verb	暗淡的、模糊的；使變暗		Intermediate	
